"","docid","cluster","membership_prob","outlier_scores"
"1","10100170",4,1,NA
"2","10103676",4,1,NA
"3","10105175",2,0.0243319767565271,0
"4","10105717",4,1,NA
"5","10106887",4,0.851683941784798,1
"6","10114458",4,0.89442697257212,1
"7","10114531",4,1,NA
"8","10122654",4,1,NA
"9","10122977",4,1,NA
"10","10125457",4,1,NA
"11","10126833",4,1,NA
"12","10127011",4,1,NA
"13","10127301",4,1,NA
"14","10133472",4,1,NA
"15","10134922",4,1,NA
"16","10135891",4,0.806266515910134,1
"17","10141958",4,1,NA
"18","10145958",4,1,NA
"19","10148896",4,0.872646143961735,1
"20","10151766",4,1,NA
"21","10156310",4,1,NA
"22","10156978",4,0.893926606562903,1
"23","10158965",4,1,NA
"24","10165376",4,1,NA
"25","10167062",4,1,NA
"26","10172697",4,1,NA
"27","10173030",4,1,NA
"28","10176685",4,0.888624481313932,1
"29","10183418",4,1,NA
"30","10183564",4,1,NA
"31","10190559",4,1,NA
"32","10190969",4,0.851683941784798,1
"33","10195212",4,1,NA
"34","10202655",4,0.815109936730352,1
"35","10205669",4,1,NA
"36","10209757",4,1,NA
"37","10209909",4,1,NA
"38","10209921",4,1,NA
"39","10214320",4,0.793707680192283,1
"40","10216680",4,1,NA
"41","10216949",4,1,NA
"42","10217138",4,0.814852075035173,1
"43","10226183",4,1,NA
"44","10226968",0,0,1
"45","10227620",4,1,NA
"46","10227636",4,1,NA
"47","10233281",4,1,NA
"48","10233805",4,1,NA
"49","10237092",4,1,NA
"50","10237599",4,1,NA
"51","10243351",4,1,NA
"52","10243618",4,1,NA
"53","10245650",4,1,NA
"54","10248128",0,0,1
"55","10249930",4,1,NA
"56","10251323",4,0.871781003642318,1
"57","10253555",4,0.789901161541988,1
"58","10262382",4,0.69492442852485,1
"59","10264155",4,0.790882931815156,1
"60","10275609",4,1,NA
"61","10280407",4,1,NA
"62","10290396",4,1,NA
"63","10293155",4,1,NA
"64","10296148",2,0.0185712785273037,0
"65","10296501",4,1,NA
"66","10300888",4,1,NA
"67","10308564",4,1,NA
"68","10309335",4,1,NA
"69","10315943",4,0.851683941784798,1
"70","10320298",4,1,NA
"71","10324277",0,0,1
"72","10328668",4,0.893926606562903,1
"73","10332695",4,1,NA
"74","10336201",4,0.889668929959671,1
"75","10338249",4,1,NA
"76","10339981",4,1,NA
"77","10346841",4,1,NA
"78","10346909",4,1,NA
"79","10348494",4,1,NA
"80","10348903",4,0.889668929959671,1
"81","10353212",2,0.0159793445076114,0.00263402399657486
"82","10358660",4,1,NA
"83","10359863",4,1,NA
"84","10366932",4,1,NA
"85","10371118",4,1,NA
"86","10377291",4,1,NA
"87","10378363",4,1,NA
"88","10378884",4,1,NA
"89","10380522",4,0.732322733670853,1
"90","10387332",4,1,NA
"91","10393013",4,1,NA
"92","10397565",4,1,NA
"93","10406558",4,1,NA
"94","10406845",4,1,NA
"95","10408408",4,1,NA
"96","10417776",4,1,NA
"97","10423111",4,0.582413734326042,1
"98","10425990",4,1,NA
"99","10427758",4,1,NA
"100","10428682",4,1,NA
"101","10430733",4,1,NA
"102","10439157",4,1,NA
"103","10439503",4,1,NA
"104","10444231",4,0.862692563572208,1
"105","10450417",4,1,NA
"106","10452861",4,1,NA
"107","10456558",4,1,NA
"108","10456648",4,1,NA
"109","10456849",4,0.794084704668525,1
"110","10459618",4,1,NA
"111","10463458",4,0.889076139622571,1
"112","10464888",4,1,NA
"113","10482026",4,1,NA
"114","10484803",4,0.572273464859189,1
"115","10485326",4,1,NA
"116","10491101",4,1,NA
"117","10491943",4,1,NA
"118","10492066",0,0,1
"119","10493043",4,1,NA
"120","10495016",4,0.382332405243773,1
"121","10500605",4,0.846995671174086,1
"122","10502099",4,1,NA
"123","10518117",4,0.780992956199061,1
"124","10521554",4,0.661178888306553,1
"125","10526851",0,0,1
"126","10527169",4,1,NA
"127","10532060",4,1,NA
"128","10533558",4,0.790882931815156,1
"129","10537456",4,1,NA
"130","10538284",4,1,NA
"131","10541164",4,1,NA
"132","10547588",4,0,1
"133","10549907",4,1,NA
"134","10551913",4,1,NA
"135","10568003",4,1,NA
"136","10569452",4,1,NA
"137","10575526",4,0.873183819089193,1
"138","106557",0,0,1
"139","1071253",0,0,1
"140","1073558",0,0,1
"141","1075371",0,0,1
"142","1079486",0,0,1
"143","1080702",0,0,1
"144","1083240",0,0,1
"145","1084116",0,0,1
"146","1087259",0,0,1
"147","10911771",4,1,NA
"148","10916721",4,1,NA
"149","1092067",3,1,NA
"150","10926866",4,1,NA
"151","10928341",4,1,NA
"152","10932570",4,1,NA
"153","10933262",4,1,NA
"154","10935424",4,0.733742812292562,1
"155","10938038",4,1,NA
"156","10942828",0,0,1
"157","10942989",4,1,NA
"158","10945697",4,1,NA
"159","10946454",0,0,1
"160","10947344",4,1,NA
"161","1094847",0,0,1
"162","10952953",4,1,NA
"163","10955448",4,0.741100628937646,1
"164","10957100",4,1,NA
"165","10964253",4,1,NA
"166","10964476",4,1,NA
"167","10968368",4,1,NA
"168","10968951",4,0.810114387309442,1
"169","10976019",4,1,NA
"170","10976909",4,1,NA
"171","10989314",4,1,NA
"172","10998931",4,1,NA
"173","11017896",4,0.889668929959671,1
"174","1106467",3,1,NA
"175","1108042",3,1,NA
"176","11087021",0,0,1
"177","1128170",3,1,NA
"178","1129535",3,1,NA
"179","11299777",1,NA,NA
"180","1132460",3,0.449560318593584,1
"181","1144927",3,1,NA
"182","1146119",3,1,NA
"183","114655",0,0,1
"184","1147618",3,1,NA
"185","1149413",3,1,NA
"186","1162969",3,1,NA
"187","1163236",3,1,NA
"188","1164928",3,1,NA
"189","1167714",3,1,NA
"190","1168591",3,1,NA
"191","117712",0,0,1
"192","1177213",3,1,NA
"193","1185027",3,1,NA
"194","1186600",3,1,NA
"195","12094223",0,0,1
"196","12201836",1,NA,NA
"197","122527",0,0,1
"198","12301724",1,NA,NA
"199","12315453",4,0.911323735842656,1
"200","12728069",4,1,NA
"201","12742209",4,1,NA
"202","12754544",4,1,NA
"203","12754708",4,1,NA
"204","12771155",4,1,NA
"205","12772649",4,0.916909639936883,1
"206","12775853",4,1,NA
"207","1280564",3,1,NA
"208","1284082",3,1,NA
"209","1286282",3,0.133639794796478,1
"210","12891576",4,1,NA
"211","1293596",3,0,1
"212","129446",0,0,1
"213","13093323",1,NA,NA
"214","13243291",1,NA,NA
"215","13261909",1,NA,NA
"216","133303",4,0.147142015513274,1
"217","13501380",1,NA,NA
"218","1362617",0,0,1
"219","13672641",1,NA,NA
"220","1391575",0,0,1
"221","139372",0,0,1
"222","1422823",0,0,1
"223","14255494",0,0,1
"224","14286127",1,NA,NA
"225","14422812",0,0,1
"226","148676",0,0,1
"227","150767",0,0,1
"228","155090",0,0,1
"229","15526752",1,NA,NA
"230","164385",0,0,1
"231","1659964",0,0,1
"232","167577",0,0,1
"233","1679052",0,0,1
"234","168444",0,0,1
"235","17218388",1,NA,NA
"236","1764196",0,0,1
"237","1780730",0,0,1
"238","18357458",1,NA,NA
"239","192873",0,0,1
"240","193778",0,0,1
"241","1972182",0,0,1
"242","1986040",0,0,1
"243","199028",0,0,1
"244","201161",0,0,1
"245","2041846",0,0,1
"246","2048722",0,0,1
"247","2057575",0,0,1
"248","2062765",0,0,1
"249","207275",0,0,1
"250","2075504",0,0,1
"251","207842",0,0,1
"252","207900",0,0,1
"253","212177",0,0,1
"254","2148323",0,0,1
"255","2148500",0,0,1
"256","2156619",0,0,1
"257","2168448",0,0,1
"258","2168472",0,0,1
"259","2168958",0,0,1
"260","2171579",0,0,1
"261","21806828",0,0,1
"262","21808409",0,0,1
"263","21812925",0,0,1
"264","21813609",0,0,1
"265","21814545",0,0,1
"266","21815284",0,0,1
"267","21819237",0,0,1
"268","21865969",0,0,1
"269","2187570",0,0,1
"270","22025199",0,0,1
"271","22025410",0,0,1
"272","220408",0,0,1
"273","2207617",0,0,1
"274","2208170",0,0,1
"275","22087011",0,0,1
"276","22089519",0,0,1
"277","22096368",0,0,1
"278","22098455",4,1,NA
"279","22101143",0,0,1
"280","2217948",0,0,1
"281","2219199",0,0,1
"282","2220438",0,0,1
"283","2226926",0,0,1
"284","2227803",0,0,1
"285","223028",0,0,1
"286","223089",0,0,1
"287","2240264",0,0,1
"288","2242789",0,0,1
"289","2243120",0,0,1
"290","224522",0,0,1
"291","2273094",0,0,1
"292","2275500",0,0,1
"293","2279957",0,0,1
"294","2282970",0,0,1
"295","2289629",0,0,1
"296","2295127",0,0,1
"297","2296616",0,0,1
"298","2302309",0,0,1
"299","2303959",0,0,1
"300","2308245",0,0,1
"301","2311308",0,0,1
"302","2313635",0,0,1
"303","2325026",0,0,1
"304","2325457",0,0,1
"305","2328954",0,0,1
"306","2331429",0,0,1
"307","2335559",0,0,1
"308","2341303",0,0,1
"309","2345198",0,0,1
"310","2345218",0,0,1
"311","2350820",0,0,1
"312","235308",0,0,1
"313","2358016",0,0,1
"314","2365810",0,0,1
"315","2367350",0,0,1
"316","2372032",0,0,1
"317","2375003",0,0,1
"318","2380778",0,0,1
"319","238196",0,0,1
"320","2390121",0,0,1
"321","2404146",0,0,1
"322","2405132",0,0,1
"323","2418290",0,0,1
"324","2435780",0,0,1
"325","2439659",0,0,1
"326","2442201",0,0,1
"327","2451427",0,0,1
"328","2459962",0,0,1
"329","2460699",0,0,1
"330","246955",0,0,1
"331","247549",0,0,1
"332","2479129",0,0,1
"333","2483770",0,0,1
"334","2491358",0,0,1
"335","2498376",0,0,1
"336","2501539",0,0,1
"337","2509267",0,0,1
"338","2525830",0,0,1
"339","2543058",0,0,1
"340","254337",0,0,1
"341","2544321",0,0,1
"342","2552109",0,0,1
"343","2559274",0,0,1
"344","2561325",0,0,1
"345","2562060",0,0,1
"346","2580814",1,NA,NA
"347","2582614",1,NA,NA
"348","2585014",0,0,1
"349","260525",0,0,1
"350","263147",0,0,1
"351","2647934",0,0,1
"352","2651859",0,0,1
"353","2653190",0,0,1
"354","2655898",0,0,1
"355","2656217",0,0,1
"356","2658238",0,0,1
"357","2659089",0,0,1
"358","2673862",0,0,1
"359","2674625",0,0,1
"360","2678210",0,0,1
"361","2680904",0,0,1
"362","2681613",0,0,1
"363","2685603",0,0,1
"364","2686100",0,0,1
"365","2689390",0,0,1
"366","2697361",0,0,1
"367","2698636",0,0,1
"368","269943",0,0,1
"369","2699526",0,0,1
"370","2703352",0,0,1
"371","2712246",0,0,1
"372","2713732",0,0,1
"373","2714810",0,0,1
"374","2715039",0,0,1
"375","2720635",0,0,1
"376","2721786",0,0,1
"377","2726210",0,0,1
"378","2727580",0,0,1
"379","2729809",0,0,1
"380","2734175",0,0,1
"381","2753277",0,0,1
"382","2754640",0,0,1
"383","2756109",0,0,1
"384","2757884",0,0,1
"385","2758320",0,0,1
"386","2760178",0,0,1
"387","2763407",0,0,1
"388","2764163",0,0,1
"389","2768026",0,0,1
"390","276847",0,0,1
"391","2768509",0,0,1
"392","277294",0,0,1
"393","2773739",0,0,1
"394","2777472",0,0,1
"395","2778036",0,0,1
"396","2781900",0,0,1
"397","2783137",0,0,1
"398","2784368",0,0,1
"399","2784601",0,0,1
"400","2785340",0,0,1
"401","2787485",0,0,1
"402","2789436",0,0,1
"403","2790546",0,0,1
"404","2792881",0,0,1
"405","2793888",0,0,1
"406","2794787",0,0,1
"407","2802561",0,0,1
"408","2802825",0,0,1
"409","2802875",0,0,1
"410","2804329",0,0,1
"411","2807320",0,0,1
"412","2807406",0,0,1
"413","2811592",0,0,1
"414","2815464",0,0,1
"415","2819060",0,0,1
"416","2820734",0,0,1
"417","2827950",0,0,1
"418","2837196",0,0,1
"419","2839420",0,0,1
"420","2840665",0,0,1
"421","2840940",0,0,1
"422","2841051",0,0,1
"423","2847862",0,0,1
"424","2858013",0,0,1
"425","2862850",0,0,1
"426","2866907",0,0,1
"427","2881841",0,0,1
"428","2885671",0,0,1
"429","2890004",0,0,1
"430","2894246",0,0,1
"431","2899062",0,0,1
"432","2903108",0,0,1
"433","2905568",0,0,1
"434","2907591",0,0,1
"435","2908859",0,0,1
"436","2909511",0,0,1
"437","2911785",0,0,1
"438","2918820",0,0,1
"439","2925351",0,0,1
"440","2928880",0,0,1
"441","2929153",0,0,1
"442","293056",0,0,1
"443","2933003",0,0,1
"444","2933334",0,0,1
"445","2934271",0,0,1
"446","2937381",0,0,1
"447","2937537",0,0,1
"448","2940857",0,0,1
"449","2943340",0,0,1
"450","2946535",0,0,1
"451","2949753",0,0,1
"452","2949943",0,0,1
"453","2950021",0,0,1
"454","2950195",0,0,1
"455","2950677",0,0,1
"456","29527",4,0.136982127270939,1
"457","2954100",0,0,1
"458","2955312",0,0,1
"459","2966942",0,0,1
"460","2968146",0,0,1
"461","2971576",0,0,1
"462","2974117",0,0,1
"463","2974376",0,0,1
"464","2974404",0,0,1
"465","2974470",0,0,1
"466","2974745",0,0,1
"467","2986072",0,0,1
"468","2986312",0,0,1
"469","2988000",0,0,1
"470","2990350",0,0,1
"471","2990674",0,0,1
"472","2993304",0,0,1
"473","2994352",0,0,1
"474","2997040",0,0,1
"475","3006007",0,0,1
"476","3010233",0,0,1
"477","3011328",0,0,1
"478","313822",0,0,1
"479","317209",0,0,1
"480","3193597",0,0,1
"481","3203431",0,0,1
"482","3203567",0,0,1
"483","3206193",0,0,1
"484","3207072",0,0,1
"485","3208406",0,0,1
"486","321825",4,0.136982127270939,1
"487","3220544",0,0,1
"488","3222163",0,0,1
"489","3222797",0,0,1
"490","3224275",0,0,1
"491","3224515",0,0,1
"492","3225256",0,0,1
"493","323087",0,0,1
"494","3231975",0,0,1
"495","3234078",0,0,1
"496","3234870",0,0,1
"497","3235547",0,0,1
"498","3239792",0,0,1
"499","3243279",0,0,1
"500","3243953",0,0,1
"501","3254932",0,0,1
"502","3255152",0,0,1
"503","3255232",0,0,1
"504","3265824",0,0,1
"505","3268705",0,0,1
"506","327371",0,0,1
"507","3274517",0,0,1
"508","3275867",0,0,1
"509","3276649",0,0,1
"510","3280449",0,0,1
"511","3286882",0,0,1
"512","3288295",0,0,1
"513","3288889",0,0,1
"514","3289311",0,0,1
"515","3289983",0,0,1
"516","3292326",0,0,1
"517","3304125",0,0,1
"518","3304361",0,0,1
"519","3305198",0,0,1
"520","3305804",0,0,1
"521","3309309",0,0,1
"522","331034",0,0,1
"523","3311882",0,0,1
"524","3319776",0,0,1
"525","3324713",0,0,1
"526","3326569",0,0,1
"527","3328894",0,0,1
"528","3336376",0,0,1
"529","3338968",0,0,1
"530","3340055",0,0,1
"531","3343083",0,0,1
"532","3345913",0,0,1
"533","3346942",0,0,1
"534","3349659",0,0,1
"535","3352969",0,0,1
"536","3355188",0,0,1
"537","3360818",0,0,1
"538","3367656",0,0,1
"539","3370096",0,0,1
"540","3372592",0,0,1
"541","3374596",0,0,1
"542","3376436",0,0,1
"543","3377601",0,0,1
"544","337988",0,0,1
"545","3380733",0,0,1
"546","3381407",0,0,1
"547","3384241",0,0,1
"548","3384296",0,0,1
"549","3388375",0,0,1
"550","3395664",0,0,1
"551","3396028",0,0,1
"552","3399077",0,0,1
"553","3403657",0,0,1
"554","3416895",0,0,1
"555","3418852",0,0,1
"556","3421256",0,0,1
"557","3424807",0,0,1
"558","3438416",0,0,1
"559","3441465",0,0,1
"560","3442270",0,0,1
"561","3443203",0,0,1
"562","3443945",0,0,1
"563","3448267",0,0,1
"564","3450747",0,0,1
"565","3460617",0,0,1
"566","3466214",0,0,1
"567","3467472",0,0,1
"568","3468670",0,0,1
"569","3468923",0,0,1
"570","3470766",0,0,1
"571","3474689",0,0,1
"572","3482790",0,0,1
"573","3486043",0,0,1
"574","3495898",0,0,1
"575","349808",0,0,1
"576","3502548",0,0,1
"577","3520853",0,0,1
"578","3522537",0,0,1
"579","363665",0,0,1
"580","368238",0,0,1
"581","3750287",0,0,1
"582","382630",0,0,1
"583","383704",0,0,1
"584","3864838",0,0,1
"585","3883105",0,0,1
"586","3900059",0,0,1
"587","3901354",0,0,1
"588","3908876",0,0,1
"589","3911727",0,0,1
"590","3913325",0,0,1
"591","3917122",0,0,1
"592","3918055",0,0,1
"593","3919623",0,0,1
"594","3931971",0,0,1
"595","3933246",0,0,1
"596","3938314",0,0,1
"597","3940609",0,0,1
"598","3948712",0,0,1
"599","3951056",0,0,1
"600","395910",0,0,1
"601","396060",0,0,1
"602","3963480",0,0,1
"603","3974366",0,0,1
"604","3975075",0,0,1
"605","3976754",0,0,1
"606","399508",0,0,1
"607","4005399",0,0,1
"608","4006333",0,0,1
"609","4008374",0,0,1
"610","4012567",0,0,1
"611","4015986",0,0,1
"612","4017746",0,0,1
"613","4018202",0,0,1
"614","4026888",0,0,1
"615","4029523",0,0,1
"616","4060818",0,0,1
"617","4061524",0,0,1
"618","4065146",0,0,1
"619","4066814",0,0,1
"620","407510",0,0,1
"621","408321",0,0,1
"622","411906",0,0,1
"623","421597",0,0,1
"624","427492",0,0,1
"625","432481",0,0,1
"626","437052",0,0,1
"627","4394277",0,0,1
"628","443279",0,0,1
"629","4445277",0,0,1
"630","4451210",0,0,1
"631","4451448",0,0,1
"632","4461582",0,0,1
"633","4462315",0,0,1
"634","4487784",0,0,1
"635","4489039",0,0,1
"636","4509085",0,0,1
"637","4510433",0,0,1
"638","4535663",0,0,1
"639","454573",0,0,1
"640","4549610",0,0,1
"641","4567796",0,0,1
"642","4579822",0,0,1
"643","4580209",0,0,1
"644","4590629",0,0,1
"645","4601397",0,0,1
"646","461386",0,0,1
"647","4627762",0,0,1
"648","463487",0,0,1
"649","4637512",0,0,1
"650","4640609",0,0,1
"651","4648572",0,0,1
"652","465367",0,0,1
"653","46572",0,0,1
"654","4670977",0,0,1
"655","4684689",0,0,1
"656","4696834",0,0,1
"657","4705457",0,0,1
"658","4715992",0,0,1
"659","4716069",0,0,1
"660","4768551",0,0,1
"661","4782111",0,0,1
"662","4795300",0,0,1
"663","4795634",0,0,1
"664","479910",0,0,1
"665","4800686",0,0,1
"666","4819936",0,0,1
"667","482291",0,0,1
"668","4841754",0,0,1
"669","4857665",0,0,1
"670","4858402",0,0,1
"671","4884510",0,0,1
"672","4888096",0,0,1
"673","490222",0,0,1
"674","4905646",0,0,1
"675","4946806",0,0,1
"676","4951673",2,0,0.0185712785273037
"677","4953735",0,0,1
"678","4956187",0,0,1
"679","4961937",0,0,1
"680","4964740",0,0,1
"681","4988085",0,0,1
"682","4994783",0,0,1
"683","4999477",0,0,1
"684","5000914",0,0,1
"685","5001362",0,0,1
"686","5001964",0,0,1
"687","5002831",0,0,1
"688","5003097",0,0,1
"689","5007513",0,0,1
"690","5007695",0,0,1
"691","5008871",0,0,1
"692","5018434",0,0,1
"693","5019040",0,0,1
"694","5019817",0,0,1
"695","5064107",4,1,NA
"696","5066321",4,1,NA
"697","513090",0,0,1
"698","540243",0,0,1
"699","541665",0,0,1
"700","5527009",0,0,1
"701","55966",0,0,1
"702","575237",0,0,1
"703","5884337",4,1,NA
"704","589101",0,0,1
"705","591921",0,0,1
"706","602684",0,0,1
"707","602905",0,0,1
"708","6034229",4,1,NA
"709","603506",0,0,1
"710","6037951",4,1,NA
"711","6129040",4,1,NA
"712","6242975",4,1,NA
"713","624394",0,0,1
"714","62572",0,0,1
"715","629958",0,0,1
"716","631636",0,0,1
"717","63442",0,0,1
"718","63502",0,0,1
"719","639221",0,0,1
"720","639615",0,0,1
"721","6396853",4,1,NA
"722","64350",0,0,1
"723","6439964",0,0,1
"724","644147",0,0,1
"725","6452653",0,0,1
"726","6459272",0,0,1
"727","6468044",0,0,1
"728","6487630",0,0,1
"729","6500823",0,0,1
"730","6502701",0,0,1
"731","6519595",0,0,1
"732","654540",0,0,1
"733","682142",0,0,1
"734","695172",0,0,1
"735","695838",0,0,1
"736","701078",0,0,1
"737","705270",0,0,1
"738","7058040",4,1,NA
"739","7071608",4,1,NA
"740","7074368",0,0,1
"741","7084530",0,0,1
"742","7085129",4,1,NA
"743","7087961",0,0,1
"744","7090579",4,0.961993474865434,1
"745","7101770",0,0,1
"746","7108428",0,0,1
"747","7110878",4,1,NA
"748","7143645",0,0,1
"749","7147978",0,0,1
"750","7153703",0,0,1
"751","7154391",0,0,1
"752","71716",4,0.119862257990734,1
"753","7175853",0,0,1
"754","7182030",4,1,NA
"755","7230657",0,0,1
"756","7233011",0,0,1
"757","7233749",0,0,1
"758","7247493",0,0,1
"759","7249252",4,1,NA
"760","7255998",4,1,NA
"761","7256542",4,0.808282811781778,1
"762","7261524",4,1,NA
"763","7266239",4,1,NA
"764","7270476",4,1,NA
"765","7283225",4,1,NA
"766","7290646",4,1,NA
"767","7297727",4,1,NA
"768","7302839",4,1,NA
"769","7317496",0,0,1
"770","732005",0,0,1
"771","732875",0,0,1
"772","7332504",4,0.961993474865434,1
"773","7349197",4,1,NA
"774","735094",0,0,1
"775","7350991",4,1,NA
"776","735138",0,0,1
"777","7351904",0,0,1
"778","7355915",4,1,NA
"779","7356947",0,0,1
"780","7357028",0,0,1
"781","7358682",4,1,NA
"782","7372924",0,0,1
"783","7385430",4,1,NA
"784","7386243",4,0.76265027873706,1
"785","7387937",2,0.0185712785273037,0
"786","7388484",0,0,1
"787","742303",0,0,1
"788","7432543",0,0,1
"789","743854",0,0,1
"790","7439475",2,0.0185712785273037,0
"791","7442426",4,1,NA
"792","7445284",0,0,1
"793","7450222",0,0,1
"794","7451414",4,0.961993474865434,1
"795","7456416",0,0,1
"796","7470005",4,1,NA
"797","74716",0,0,1
"798","7476770",0,0,1
"799","747715",0,0,1
"800","7480006",4,1,NA
"801","7483124",0,0,1
"802","7483896",0,0,1
"803","7493018",4,1,NA
"804","7498608",0,0,1
"805","75134",0,0,1
"806","7529640",0,0,1
"807","7540961",4,1,NA
"808","7555169",4,0.832500143516043,1
"809","7556499",4,1,NA
"810","7558654",0,0,1
"811","7564629",0,0,1
"812","756662",0,0,1
"813","7575401",0,0,1
"814","7590119",0,0,1
"815","7599841",4,1,NA
"816","7600656",4,1,NA
"817","7603",0,0,1
"818","7616028",0,0,1
"819","7619256",4,1,NA
"820","7622416",0,0,1
"821","7623952",4,1,NA
"822","7630284",0,0,1
"823","7632543",0,0,1
"824","7632804",0,0,1
"825","7634135",4,1,NA
"826","7637244",4,1,NA
"827","7647464",0,0,1
"828","7650634",4,1,NA
"829","7656056",4,1,NA
"830","7656659",0,0,1
"831","7678597",4,1,NA
"832","7679360",4,1,NA
"833","7696684",4,1,NA
"834","7712174",0,0,1
"835","7720473",4,1,NA
"836","7727806",0,0,1
"837","7730372",4,1,NA
"838","7731845",4,1,NA
"839","7733975",4,1,NA
"840","7735013",4,1,NA
"841","7739369",0,0,1
"842","7742530",0,0,1
"843","7743955",0,0,1
"844","7748107",0,0,1
"845","7751327",0,0,1
"846","7752350",4,1,NA
"847","7755164",4,1,NA
"848","7757239",4,1,NA
"849","7760452",4,1,NA
"850","7767840",4,0.877117366749314,1
"851","7771245",4,1,NA
"852","7775374",4,1,NA
"853","7780368",4,1,NA
"854","77813",0,0,1
"855","7781509",4,1,NA
"856","7782741",0,0,1
"857","7783801",0,0,1
"858","7802348",4,1,NA
"859","7814288",0,0,1
"860","7819460",4,1,NA
"861","7823123",4,1,NA
"862","7824263",4,1,NA
"863","7831698",4,0.842594800775731,1
"864","7836239",4,1,NA
"865","7836327",4,1,NA
"866","7837332",4,0.927997863169918,1
"867","7843104",4,1,NA
"868","7845376",0,0,1
"869","7846614",4,1,NA
"870","7854102",4,1,NA
"871","7855675",4,1,NA
"872","7873528",4,1,NA
"873","7876172",4,1,NA
"874","7878869",0,0,1
"875","7896065",4,1,NA
"876","7902621",4,1,NA
"877","7907268",0,0,1
"878","7911872",0,0,1
"879","7914329",0,0,1
"880","7918546",4,1,NA
"881","7919594",4,1,NA
"882","7931462",0,0,1
"883","7932639",0,0,1
"884","7932949",4,1,NA
"885","7938152",0,0,1
"886","7939209",0,0,1
"887","7942909",0,0,1
"888","7946181",4,1,NA
"889","7948864",4,1,NA
"890","7953692",4,0.877117366749314,1
"891","7964856",0,0,1
"892","7965129",4,0.875042916213784,1
"893","7991265",4,0.837427172764676,1
"894","7998587",0,0,1
"895","7999172",0,0,1
"896","8014687",0,0,1
"897","8025683",0,0,1
"898","8027079",0,0,1
"899","8028708",4,1,NA
"900","8037737",4,1,NA
"901","8038384",0,0,1
"902","8039995",4,1,NA
"903","8043498",0,0,1
