"","docid","cluster","membership_prob","outlier_scores"
"1","10100170",7,1,NA
"2","10103676",7,1,NA
"3","10105175",2,0.149936866584195,0.00189127462389616
"4","10105717",7,1,NA
"5","10106887",7,0.911311684868608,0
"6","10114458",7,0.899779798422989,1
"7","10114531",7,1,NA
"8","10122654",7,1,NA
"9","10122977",7,1,NA
"10","10125457",7,1,NA
"11","10126833",7,1,NA
"12","10127011",7,1,NA
"13","10127301",7,1,NA
"14","10133472",7,1,NA
"15","10134922",7,1,NA
"16","10135891",7,0.895117136004594,1
"17","10141958",7,1,NA
"18","10145958",7,1,NA
"19","10148896",7,0.483635284269916,1
"20","10151766",7,1,NA
"21","10156310",7,1,NA
"22","10156978",7,0.861122314810901,1
"23","10158965",7,1,NA
"24","10165376",7,1,NA
"25","10167062",7,1,NA
"26","10172697",7,1,NA
"27","10173030",7,1,NA
"28","10176685",7,0.898160835261012,1
"29","10183418",7,1,NA
"30","10183564",7,1,NA
"31","10190559",7,1,NA
"32","10190969",7,0.911311684868608,0
"33","10195212",7,1,NA
"34","10202655",7,0.769531080678485,1
"35","10205669",7,1,NA
"36","10209757",7,1,NA
"37","10209909",7,1,NA
"38","10209921",7,1,NA
"39","10214320",7,0.85176326191458,1
"40","10216680",7,1,NA
"41","10216949",7,1,NA
"42","10217138",7,0.872053326324821,1
"43","10226183",7,1,NA
"44","10226968",0,0,1
"45","10227620",7,1,NA
"46","10227636",7,1,NA
"47","10233281",7,1,NA
"48","10233805",7,1,NA
"49","10237092",7,1,NA
"50","10237599",7,1,NA
"51","10243351",7,1,NA
"52","10243618",7,1,NA
"53","10245650",7,1,NA
"54","10248128",0,0,1
"55","10249930",7,1,NA
"56","10251323",7,0.851033031677706,1
"57","10253555",7,0.788285966780993,1
"58","10262382",7,0.528470822558109,1
"59","10264155",7,0.910750041552079,1
"60","10275609",7,1,NA
"61","10280407",7,1,NA
"62","10290396",7,1,NA
"63","10293155",7,1,NA
"64","10296148",2,0,0.151544569417134
"65","10296501",7,1,NA
"66","10300888",7,1,NA
"67","10308564",7,1,NA
"68","10309335",7,1,NA
"69","10315943",7,0.911311684868608,0
"70","10320298",7,1,NA
"71","10324277",0,0,1
"72","10328668",7,0.861122314810901,1
"73","10332695",7,1,NA
"74","10336201",7,0.911311684868608,0
"75","10338249",7,1,NA
"76","10339981",7,1,NA
"77","10346841",7,1,NA
"78","10346909",7,1,NA
"79","10348494",7,1,NA
"80","10348903",7,0.911311684868608,0
"81","10353212",2,0.151544569417134,0
"82","10358660",7,1,NA
"83","10359863",7,1,NA
"84","10366932",7,1,NA
"85","10371118",7,1,NA
"86","10377291",7,1,NA
"87","10378363",7,1,NA
"88","10378884",7,1,NA
"89","10380522",7,0.816931592046109,1
"90","10387332",7,1,NA
"91","10393013",7,1,NA
"92","10397565",7,1,NA
"93","10406558",7,1,NA
"94","10406845",7,1,NA
"95","10408408",7,1,NA
"96","10417776",7,1,NA
"97","10423111",7,0.650283368428853,1
"98","10425990",7,1,NA
"99","10427758",7,1,NA
"100","10428682",7,1,NA
"101","10430733",7,1,NA
"102","10439157",7,1,NA
"103","10439503",7,1,NA
"104","10444231",7,0.727410603058377,1
"105","10450417",7,1,NA
"106","10452861",7,1,NA
"107","10456558",7,1,NA
"108","10456648",7,1,NA
"109","10456849",7,0.911187541348392,1
"110","10459618",7,1,NA
"111","10463458",7,0.911040207859198,1
"112","10464888",7,1,NA
"113","10482026",7,1,NA
"114","10484803",7,0.670668542923105,1
"115","10485326",7,1,NA
"116","10491101",7,1,NA
"117","10491943",7,1,NA
"118","10492066",0,0,1
"119","10493043",7,1,NA
"120","10495016",7,0.585940484150614,1
"121","10500605",7,0.777818653118881,1
"122","10502099",7,1,NA
"123","10518117",7,0.872477043807096,1
"124","10521554",7,0.853126661386141,1
"125","10526851",0,0,1
"126","10527169",7,1,NA
"127","10532060",7,1,NA
"128","10533558",7,0.910750041552079,1
"129","10537456",7,1,NA
"130","10538284",7,1,NA
"131","10541164",7,1,NA
"132","10547588",0,0,1
"133","10549907",7,1,NA
"134","10551913",7,1,NA
"135","10568003",7,1,NA
"136","10569452",7,1,NA
"137","10575526",7,0.702798087769772,1
"138","106557",0,0,1
"139","1071253",0,0,1
"140","1073558",0,0,1
"141","1075371",0,0,1
"142","1079486",0,0,1
"143","1080702",3,0.0325738757099185,1
"144","1083240",0,0,1
"145","1084116",0,0,1
"146","1087259",0,0,1
"147","10911771",7,1,NA
"148","10916721",7,1,NA
"149","1092067",3,1,NA
"150","10926866",7,1,NA
"151","10928341",7,1,NA
"152","10932570",7,1,NA
"153","10933262",7,1,NA
"154","10935424",7,0.665250721203695,1
"155","10938038",7,1,NA
"156","10942828",0,0,1
"157","10942989",7,1,NA
"158","10945697",7,1,NA
"159","10946454",0,0,1
"160","10947344",7,1,NA
"161","1094847",0,0,1
"162","10952953",7,1,NA
"163","10955448",7,0.758947916393926,1
"164","10957100",7,1,NA
"165","10964253",7,1,NA
"166","10964476",7,1,NA
"167","10968368",7,1,NA
"168","10968951",7,0.77722298219732,1
"169","10976019",7,1,NA
"170","10976909",7,1,NA
"171","10989314",7,1,NA
"172","10998931",7,1,NA
"173","11017896",7,0.911311684868608,0
"174","1106467",3,1,NA
"175","1108042",3,1,NA
"176","11087021",0,0,1
"177","1128170",3,1,NA
"178","1129535",3,1,NA
"179","11299777",1,NA,NA
"180","1132460",3,0.860303119470183,1
"181","1144927",3,1,NA
"182","1146119",3,1,NA
"183","114655",0,0,1
"184","1147618",3,1,NA
"185","1149413",3,1,NA
"186","1162969",3,1,NA
"187","1163236",3,1,NA
"188","1164928",3,1,NA
"189","1167714",3,1,NA
"190","1168591",3,1,NA
"191","117712",0,0,1
"192","1177213",3,1,NA
"193","1185027",3,1,NA
"194","1186600",3,1,NA
"195","12094223",0,0,1
"196","12201836",1,NA,NA
"197","122527",0,0,1
"198","12301724",1,NA,NA
"199","12315453",6,0.785281598919582,1
"200","12728069",7,1,NA
"201","12742209",7,1,NA
"202","12754544",7,1,NA
"203","12754708",7,1,NA
"204","12771155",7,1,NA
"205","12772649",7,1,NA
"206","12775853",7,1,NA
"207","1280564",3,1,NA
"208","1284082",3,1,NA
"209","1286282",3,0.903921798086812,1
"210","12891576",6,1,NA
"211","1293596",3,0.801206839837834,1
"212","129446",0,0,1
"213","13093323",1,NA,NA
"214","13243291",1,NA,NA
"215","13261909",1,NA,NA
"216","133303",5,0.174766372108807,0
"217","13501380",1,NA,NA
"218","1362617",0,0,1
"219","13672641",1,NA,NA
"220","1391575",0,0,1
"221","139372",0,0,1
"222","1422823",0,0,1
"223","14255494",0,0,1
"224","14286127",1,NA,NA
"225","14422812",0,0,1
"226","148676",0,0,1
"227","150767",0,0,1
"228","155090",0,0,1
"229","15526752",1,NA,NA
"230","164385",0,0,1
"231","1659964",0,0,1
"232","167577",0,0,1
"233","1679052",0,0,1
"234","168444",0,0,1
"235","17218388",1,NA,NA
"236","1764196",0,0,1
"237","1780730",0,0,1
"238","18357458",1,NA,NA
"239","192873",0,0,1
"240","193778",0,0,1
"241","1972182",0,0,1
"242","1986040",0,0,1
"243","199028",0,0,1
"244","201161",0,0,1
"245","2041846",0,0,1
"246","2048722",0,0,1
"247","2057575",0,0,1
"248","2062765",0,0,1
"249","207275",0,0,1
"250","2075504",0,0,1
"251","207842",0,0,1
"252","207900",0,0,1
"253","212177",0,0,1
"254","2148323",0,0,1
"255","2148500",0,0,1
"256","2156619",0,0,1
"257","2168448",0,0,1
"258","2168472",0,0,1
"259","2168958",0,0,1
"260","2171579",0,0,1
"261","21806828",0,0,1
"262","21808409",0,0,1
"263","21812925",0,0,1
"264","21813609",0,0,1
"265","21814545",0,0,1
"266","21815284",0,0,1
"267","21819237",0,0,1
"268","21865969",0,0,1
"269","2187570",0,0,1
"270","22025199",0,0,1
"271","22025410",0,0,1
"272","220408",0,0,1
"273","2207617",0,0,1
"274","2208170",4,0.173961872893979,0.150185506928834
"275","22087011",0,0,1
"276","22089519",0,0,1
"277","22096368",0,0,1
"278","22098455",6,1,NA
"279","22101143",0,0,1
"280","2217948",4,0.126790006603175,0.111319157697635
"281","2219199",4,0.224078683532298,0
"282","2220438",4,0.00543968994682506,0.219750693251328
"283","2226926",4,0.0116272629041572,0.214866048694457
"284","2227803",4,0.087193405442333,0.149869208805646
"285","223028",0,0,1
"286","223089",0,0,1
"287","2240264",0,0,1
"288","2242789",0,0,1
"289","2243120",4,0.0601447396367537,0.174335639576232
"290","224522",0,0,1
"291","2273094",4,0.00198547214146037,0.222451206092336
"292","2275500",4,0.0965855526614498,0.141031013257717
"293","2279957",0,0,1
"294","2282970",0,0,1
"295","2289629",4,0.0345114081736052,0.19625669427043
"296","2295127",4,0.0868536618688279,0.150185506928834
"297","2296616",4,0.101828243604997,0.136017151604289
"298","2302309",4,0.0957609232689396,0.141814358162787
"299","2303959",4,0.0552166235578714,0.178642414982979
"300","2308245",0,0,1
"301","2311308",0,0,1
"302","2313635",0,0,1
"303","2325026",4,0.0838527239462433,0.152969164759924
"304","2325457",0,0,1
"305","2328954",0,0,1
"306","2331429",0,0,1
"307","2335559",4,0.081549691798732,0.155093111179314
"308","2341303",0,0,1
"309","2345198",4,0.0968925872283544,0.140738984682712
"310","2345218",0,0,1
"311","2350820",4,0.223995007561266,0
"312","235308",0,0,1
"313","2358016",4,0.101538196155172,0.136296068327067
"314","2365810",4,0.028249012348264,0.201436373824562
"315","2367350",4,0.0995466356116676,0.138206349014127
"316","2372032",0,0,1
"317","2375003",4,0.103131286384425,0.13476188804669
"318","2380778",4,0.268178812187027,0.0218017783413987
"319","238196",0,0,1
"320","2390121",4,0.0840784277276332,0.152760437213533
"321","2404146",4,0.200611629584541,0.0467600688956453
"322","2405132",4,0.0645528677327218,0.170444843250627
"323","2418290",4,0.137061434926402,0.10074132290918
"324","2435780",4,0.127231045982312,0.110870077508501
"325","2439659",4,0.0175728281640766,0.210114485139327
"326","2442201",0,0,1
"327","2451427",0,0,1
"328","2459962",4,0.111361498470225,0.126748400949481
"329","2460699",0,0,1
"330","246955",0,0,1
"331","247549",0,0,1
"332","2479129",4,0.15879388287099,0.0775090948135335
"333","2483770",0,0,1
"334","2491358",0,0,1
"335","2498376",0,0,1
"336","2501539",0,0,1
"337","2509267",0,0,1
"338","2525830",4,0.207615469812043,0.0529805718059436
"339","2543058",0,0,1
"340","254337",0,0,1
"341","2544321",0,0,1
"342","2552109",4,0.135847956124031,0.102004099928839
"343","2559274",0,0,1
"344","2561325",4,0.108477270195147,0.129573518996431
"345","2562060",4,0.111490760189059,0.126621358936173
"346","2580814",1,NA,NA
"347","2582614",1,NA,NA
"348","2585014",0,0,1
"349","260525",0,0,1
"350","263147",0,0,1
"351","2647934",0,0,1
"352","2651859",4,0.058472661445937,0.175801954268824
"353","2653190",4,0.0601855770639486,0.174299762271752
"354","2655898",4,0.114125698632008,0.124023587499485
"355","2656217",4,0.0930548101884996,0.144374984115613
"356","2658238",4,0.00644660892438914,0.218959947790386
"357","2659089",0,0,1
"358","2673862",0,0,1
"359","2674625",4,0.137824729191655,0.0999451982528118
"360","2678210",0,0,1
"361","2680904",0,0,1
"362","2681613",0,0,1
"363","2685603",4,0.105622478942368,0.141031013257717
"364","2686100",4,0.0504461231848997,0.182768865057417
"365","2689390",0,0,1
"366","2697361",0,0,1
"367","2698636",4,0.195989556283473,0.0348321983833177
"368","269943",0,0,1
"369","2699526",0,0,1
"370","2703352",0,0,1
"371","2712246",4,0.229672080536596,0.0218017783413987
"372","2713732",4,0.115325226551961,0.122835853661524
"373","2714810",0,0,1
"374","2715039",0,0,1
"375","2720635",0,0,1
"376","2721786",4,0.111861539973713,0.126256741076424
"377","2726210",0,0,1
"378","2727580",4,0.0215630472647799,0.20689320832639
"379","2729809",4,0.0178392223268592,0.209900242323681
"380","2734175",4,0.0171445551552098,0.210458672728543
"381","2753277",4,0.164647774739196,0.0710445618356271
"382","2754640",0,0,1
"383","2756109",4,0.0931651202041981,0.182768865057418
"384","2757884",4,0.0415212227115329,0.190378534375014
"385","2758320",0,0,1
"386","2760178",4,0.120092378091461,0.118083565686632
"387","2763407",4,0.0335440430212255,0.197061193699304
"388","2764163",4,0.162618668821068,0.0732955661356671
"389","2768026",4,0.144414360534572,0.0930130700608959
"390","276847",0,0,1
"391","2768509",0,0,1
"392","277294",0,0,1
"393","2773739",4,0.00286952238783236,0.221761835725816
"394","2777472",4,0.155557878420861,0.081044191652147
"395","2778036",0,0,1
"396","2781900",4,0.0614258850062421,0.173208615023551
"397","2783137",4,0.0454099272971715,0.187080387038227
"398","2784368",4,0.118837591276167,0.119339426244245
"399","2784601",4,0.155557878420861,0.081044191652147
"400","2785340",4,0.175694832939482,0.0585950162050095
"401","2787485",4,0.143197462979422,0.0943012433912811
"402","2789436",4,0.0357843646514859,0.195195593195035
"403","2790546",0,0,1
"404","2792881",0,0,1
"405","2793888",0,0,1
"406","2794787",0,0,1
"407","2802561",4,0.113820086491251,0.124325680813265
"408","2802825",0,0,1
"409","2802875",0,0,1
"410","2804329",4,0.0068455422127814,0.218646217258392
"411","2807320",0,0,1
"412","2807406",4,0.0735432813444254,0.162394770513585
