docid,text_data,dupe_count,level_0
8804568,Net neutrality is absolutely essential for a true democracy. Keep the FCC rules supporting net neutrality!,1,-1
12094223,I strongly support preserving net neutrality backed by title II for ISPs.,2,-1
1108042,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
James Keene",1,2
8694367,"It should have been obvious the last time this was attempted that the FCC's Open Internet Rules (net neutrality rules) are extremely important to me and millions like me. I urge you to protect them.

I don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.

Now is not the time to let giant ISPs censor what we see and do online.

Censorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.

Courts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.

Chairman Pai has made clear that he intends to do exactly this.

But if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.

Internet providers will be able to impose a private tax on every sector of the American economy.

Moreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.

I'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.

So I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.

Thank you!",1,-1
2729809,"I would like to comment on Net neutrality. I would like to recommend the government to repeal Tom Wheeler's decision to control Internet access. Individual citizens, not unelected bureaucrats, should be free to purchase the services we prefer. Tom Wheeler's decision to control Internet access is a corruption of the open Internet. It ended a market-based approach that worked supremely smoothly for many years with both parties' backing.",1,14
2226926,"I'd like to share my thoughts on restoring Internet freedom. I would like to request Ajit Pai to overturn Obama's decision to take over Internet access. Individual Americans, not big government, should be free to purchase whichever applications they want. Obama's decision to take over Internet access is a perversion of net neutrality. It undid a light-touch system that performed supremely smoothly for two decades with both parties' approval.",2,14
8236602,The FCC should not be a puppet of internet companies. Do not mess with (NET NEUTRALITY) it is in place for a good reason.,1,-1
12315453,"The FCC's Open Internet Rules (net neutrality rules) are extremely important to me. I urge you to protect them.

I don't want ISPs to have the power to block websites, slow them down, give some sites an advantage over others, or split the Internet into ""fast lanes"" for companies that pay and ""slow lanes"" for the rest.

Now is not the time to let giant ISPs censor what we see and do online.

Censorship by ISPs is a serious problem. Comcast has throttled Netflix, AT&T blocked FaceTime, Time Warner Cable throttled the popular game League of Legends, and Verizon admitted it will introduce fast lanes for sites that pay-and slow lanes for everyone else-if the FCC lifts the rules. This hurts consumers and businesses large and small.

Courts have made clear that if the FCC ends Title II classification, the FCC must let ISPs offer ""fast lanes"" to websites for a fee.

Chairman Pai has made clear that he intends to do exactly this.

But if some companies can pay our ISPs to have their content load faster, startups and small businesses that can't pay those fees won't be able to compete. You will kill the open marketplace that has enabled millions of small businesses and created the 5 most valuable companies in America-just to further enrich a few much less valuable cable giants famous for sky-high prices and abysmal customer service.

Internet providers will be able to impose a private tax on every sector of the American economy.

Moreover, under Chairman Pai's plan, ISPs will be able to make it more difficult to access political speech that they don't like. They'll be able to charge fees for website delivery that would make it harder for blogs, nonprofits, artists, and others who can't pay up to have their voices heard.

I'm sending this to the FCC's open proceeding, but I worry that Chairman Pai, a former Verizon lawyer, has made his plans and will ignore me and millions of other Americans.

So I'm also sending this to my members of Congress. Please publicly support the FCC's existing net neutrality rules based on Title II, and denounce Chairman Pai's plans. Do whatever you can to dissuade him.

Thank you!
danielle",3,0
2187570,"To the Federal Communications Commission:  My comments re: internet regulations. I'd like to demand Ajit Pai to reverse President Obama's order to take over broadband. Individuals, as opposed to unelected bureaucrats, should be empowered to select the applications we want. President Obama's order to take over broadband is a distortion of net neutrality. It reversed a hands-off framework that worked fabulously well for decades with Republican and Democrat approval.",2,14
7622416,"As an Internet user, I’m asking the FCC to protect the net neutrality protections currently in place. 

The FCC should reject Chairman Ajit Pai’s proposal to give the government-subsidized telecom giants like AT&T, Verizon, and Comcast free rein to create Internet fast lanes, stripping Internet users of the vital privacy and access rules we demanded and so recently won. 

I’m worried about creating a tiered Internet with “fast lanes” for certain sites or services because users will have fewer options and a less diverse Internet. Thankfully, the current FCC regulations mean that ISP monopolies can’t slow or block Internet users’ access to certain websites or create Internet “fast lanes” by charging online services and websites more money to reach consumers faster. That’s the best way forward to ensure the Internet remains a level playing field that benefits consumers and small businesses as well as larger players. Chairman Pai’s proposed repeal of the rules would help turn ISPs into gatekeepers with an effective veto right on innovation and expression. That’s contrary to the basic precepts on which the Internet was built. 

The internet provides endless creative opportunities and has allowed for people to be able to learn about other perspectives and other people. It allows us to connect with people and I believe that that connection and sharing of viewpoints helps kill hatred, prejudice, and ignorance. To make this change would be a crime. The internet can show the worst in humanity at times but it also allows us to come together as a whole and to be the best in humanity. 

Thank you for keeping Title II net neutrality rules in place to protect Internet users like me.",1,15
